fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.1,0.2181185097007753,110,7,20,0.0156844487260975,-1.0134631748322285,AD,687,1442.159110747199,6438.768228120768,3060.149788503368,9,2,CE,172,0,BE,0,1,28,0,500.0,0,INTERNET,15.611467277344566,windows,1,1,0,7
0,0.1,0.3730856583994319,29,7,20,0.0242768343277744,19.342285059655907,AA,1230,6236.294790581506,5484.355709388612,4760.177409244557,706,9,CB,128,1,BC,0,1,22,0,200.0,0,INTERNET,5.911984484994067,other,0,1,0,0
0,0.2,0.5152182470516694,-1,64,20,0.0158648755096243,-1.3339850750064304,AB,2045,5302.67449467442,5521.1687019195615,4970.617403997529,14,16,CA,7,1,BE,1,1,25,1,200.0,0,INTERNET,4.732999367325177,other,1,1,0,4
0,0.6000000000000001,0.8993448487673084,-1,56,20,0.0188212769319607,-1.5244237459079766,AC,1260,5401.796609997687,4411.6297380776205,4831.579015205394,1,13,CA,96,1,BC,0,1,-1,0,200.0,0,INTERNET,8.210517558871054,linux,1,1,0,3
0,0.9,0.794647657712447,-1,64,50,0.0273594085521254,-1.2545275955068271,AB,1643,10657.94329956074,6073.103673451788,6376.081607852957,13,7,CB,85,0,BC,0,1,1,0,200.0,0,INTERNET,5.131610305072384,other,0,1,0,0
0,0.8,0.9945840818511912,-1,366,40,0.0277122494025364,-0.5835557945195362,AD,1173,7039.743703336957,4225.046944483188,5584.721783084082,14,16,CA,147,1,BE,1,1,1,0,200.0,0,INTERNET,5.154085899980215,linux,1,1,0,1
0,0.8,0.7162208973926067,-1,112,30,0.0327297491866809,-1.2874565414300054,AB,995,2807.255877754087,5515.207181908371,4330.0167447473295,12,5,CF,114,1,BB,0,1,15,0,200.0,0,INTERNET,1.673615772910794,other,1,1,0,5
0,0.1,0.1785329891792257,-1,115,70,0.0467655809532656,-1.0069583034563545,AB,626,4387.368245168026,4243.279272870674,4297.216737786219,12,2,CC,38,0,BB,1,0,1,0,200.0,0,INTERNET,1.598486387972672,other,1,1,0,5
0,0.8,0.8789174776596103,-1,144,20,0.0276149618296452,-1.7768227727867598,AB,1420,7078.996348696986,5832.932715145013,6259.659233012719,5,16,CA,170,0,BB,0,1,5,1,1500.0,0,INTERNET,7.268925258510253,other,1,1,0,0
0,0.9,0.5259313111962095,-1,139,30,0.0013368277414386,-0.3323692327527857,AC,845,4186.208744838843,5238.937902925506,4336.497049311543,0,8,CB,171,1,BB,1,0,-1,0,200.0,0,INTERNET,1.7072463746060564,other,0,1,0,5
0,0.8,0.7217954995088455,-1,309,20,0.017519089219728,23.80604182784494,AA,988,7993.357885944231,4768.134121191863,5143.035108770483,14,6,CB,60,1,BE,1,1,1,0,200.0,0,INTERNET,6.639526571633422,other,0,1,0,3
0,0.4,0.0706523915659401,24,9,30,0.0008063779371051,-0.4053816952472921,AB,1159,11692.458788165004,6424.407377380177,4736.7641684876535,7,24,CA,98,1,BB,1,1,19,0,500.0,0,INTERNET,2.1550442895354567,other,1,1,0,3
0,0.2,0.3038639064154982,-1,36,20,0.0020394290793444,-1.0862043270221842,AC,1007,4647.791053389312,5175.4164236116885,4395.525061118151,8,10,CB,125,1,BC,1,1,-1,0,200.0,0,INTERNET,7.826999807911775,other,1,1,0,6
0,0.9,0.6830432057401321,-1,227,40,0.0042441134823193,16.897019325064505,AA,832,1910.102188923303,2629.345271988829,3676.606818761479,9,5,CA,110,0,BA,1,1,10,0,200.0,0,INTERNET,3.2325622700205483,windows,1,1,0,6
0,0.2,0.7617177970572525,46,9,20,0.0140609865949044,-0.9508285058831382,AD,781,5855.096633591379,2709.5370640143105,5117.308502436425,14,13,CA,99,1,BC,0,1,1,1,200.0,0,INTERNET,5.813900717391,linux,0,1,0,3
0,0.1,0.5223999017644048,-1,23,20,0.0020064940513164,-0.6013042056835178,AD,2033,4175.8709999634775,3349.681287319564,4357.038093864693,5,8,CA,218,1,BE,1,1,6,0,200.0,0,INTERNET,2.746769222757288,linux,0,1,0,6
0,0.7000000000000001,0.0732247584166747,50,12,30,0.0131361540220441,-0.7620084573038778,AB,1108,3516.81712241226,6015.440679537473,5994.798082856432,10,9,CB,187,0,BE,0,1,15,1,1000.0,0,INTERNET,6.21005303644717,linux,1,2,0,0
0,0.5,0.4798401575804011,93,13,30,0.0037214983477316,29.2646381612953,AA,644,1905.995546190899,2413.9860699567,3134.6502582040216,106,2,CA,66,1,BB,1,0,11,1,200.0,0,INTERNET,1.7190824490440912,other,1,1,0,7
0,0.2,0.182902198404201,-1,126,30,0.0272709582490422,8.976874253346224,AA,801,5182.778918720984,4443.202371637391,5568.93230195727,18,14,CA,145,0,BE,1,1,15,0,1500.0,0,INTERNET,5.439935435658229,other,1,1,0,2
0,0.4,0.3294666678723057,-1,100,40,0.0087681428527311,-0.7953329369676225,AB,717,826.9826471549305,2088.9403250341365,3948.8370743923583,10,5,CB,125,0,BB,0,1,10,0,200.0,0,INTERNET,2.4879611110938296,other,1,1,0,6
0,0.2,0.3407679914610609,26,14,50,0.0050648702573808,-0.8946970953187107,AC,621,5760.352873640514,3448.631882513984,4249.734825377042,1,3,CA,122,1,BC,1,0,-1,0,200.0,0,INTERNET,23.51276262955779,windows,0,1,0,4
0,0.9,0.2342028079721404,-1,46,50,10.703826254321177,-0.4113701944168499,AC,1027,5296.687863501358,4368.237342107167,4390.159537137226,1,3,CA,128,1,BA,0,1,-1,1,200.0,0,INTERNET,5.370306202244855,other,1,1,0,4
0,0.3,0.1451981021011612,-1,140,30,0.0055046002265976,-0.5763810079016456,AC,2049,4803.926432340194,3808.062027679581,5573.428780532597,0,12,CA,-4,0,BE,0,1,28,0,200.0,0,INTERNET,2.12770112427332,other,1,1,0,1
0,0.9,0.114178546734218,-1,58,30,0.0062702190506505,37.47738211353845,AA,1387,2989.644125343252,2196.239834157708,3119.829873436512,53,4,CA,97,1,BC,0,1,5,0,500.0,0,INTERNET,3.3486346263883537,other,1,1,0,7
0,0.5,0.6332543409880275,-1,80,10,0.0280849280320442,31.709800995605725,AA,163,4265.848513361905,5459.707856948705,4293.052398859278,11,17,CA,100,1,BE,0,1,1,0,200.0,0,INTERNET,3.1870010820138384,other,0,1,0,4
0,0.9,0.4168485487757978,50,1,30,0.0307186898846159,-0.5395545933464974,AB,195,4333.171779430377,3733.073528931119,5620.1698491242505,172,11,CA,19,1,BC,0,1,15,0,200.0,0,INTERNET,10.711755569488735,linux,1,1,0,1
